bat;experiment;order;treatment;bat_type;period;response
2;FP;NP-P;predator;carnivorous;during;1
2;FP;NP-P;predator;carnivorous;after;3
3;FP;NP-P;predator;carnivorous;before;1
3;FP;NP-P;predator;carnivorous;during;0
3;FP;NP-P;predator;carnivorous;after;0
4;FP;NP-P;predator;carnivorous;before;1
4;FP;NP-P;predator;carnivorous;during;0
4;FP;NP-P;predator;carnivorous;after;0
5;FP;NP-P;predator;carnivorous;before;35
5;FP;NP-P;predator;carnivorous;during;0
5;FP;NP-P;predator;carnivorous;after;10
6;FP;NP-P;predator;carnivorous;before;6
6;FP;NP-P;predator;carnivorous;during;0
6;FP;NP-P;predator;carnivorous;after;3
7;FP;NP-P;predator;carnivorous;before;12
7;FP;NP-P;predator;carnivorous;during;0
7;FP;NP-P;predator;carnivorous;after;1
8;PF;P-NP;predator;carnivorous;before;43
8;PF;P-NP;predator;carnivorous;during;0
8;PF;P-NP;predator;carnivorous;after;72
9;PF;P-NP;predator;carnivorous;before;7
9;PF;P-NP;predator;carnivorous;during;0
9;PF;P-NP;predator;carnivorous;after;0
10;PF;P-NP;predator;carnivorous;before;14
10;PF;P-NP;predator;carnivorous;during;0
10;PF;P-NP;predator;carnivorous;after;20
11;PF;P-NP;predator;carnivorous;before;41
11;PF;P-NP;predator;carnivorous;during;4
11;PF;P-NP;predator;carnivorous;after;11
12;PF;P-NP;predator;carnivorous;before;23
12;PF;P-NP;predator;carnivorous;during;0
12;PF;P-NP;predator;carnivorous;after;78
13;IP;NP-P;predator;carnivorous;before;8
13;IP;NP-P;predator;carnivorous;during;0
13;IP;NP-P;predator;carnivorous;after;0
14;IP;NP-P;predator;carnivorous;before;32
14;IP;NP-P;predator;carnivorous;during;1
14;IP;NP-P;predator;carnivorous;after;8
15;IP;NP-P;predator;carnivorous;before;95
15;IP;NP-P;predator;carnivorous;during;4
15;IP;NP-P;predator;carnivorous;after;67
16;IP;NP-P;predator;carnivorous;before;21
16;IP;NP-P;predator;carnivorous;during;0
16;IP;NP-P;predator;carnivorous;after;1
17;IP;NP-P;predator;carnivorous;before;22
17;IP;NP-P;predator;carnivorous;during;5
17;IP;NP-P;predator;carnivorous;after;64
18;IP;NP-P;predator;carnivorous;before;34
18;IP;NP-P;predator;carnivorous;during;0
18;IP;NP-P;predator;carnivorous;after;8
19;IP;NP-P;predator;carnivorous;before;0
19;IP;NP-P;predator;carnivorous;during;0
19;IP;NP-P;predator;carnivorous;after;0
20;PI;P-NP;predator;carnivorous;before;18
20;PI;P-NP;predator;carnivorous;during;0
